reference,class_id
2013_10_27_14,4.0
2013_10_27_15,4.0
2013_10_27_16,4.0
2013_10_27_17,4.0
2013_10_28_06,4.0
2013_10_28_07,4.0
2013_10_28_08,4.0
2013_10_28_09,4.0
2013_10_28_10,3.0
2013_10_28_11,3.0
2013_10_28_12,3.0
2013_10_28_13,3.0
2013_10_28_14,3.0
2013_10_28_15,4.0
2013_10_28_16,4.0
2013_10_29_06,4.0
2013_10_29_07,4.0
2013_10_29_08,4.0
2013_10_29_09,4.0
2013_10_29_10,4.0
2013_10_29_11,3.0
2013_10_29_12,3.0
2013_10_29_13,3.0
2013_10_29_14,3.0
2013_10_29_15,3.0
2013_10_29_16,4.0
2013_10_29_17,4.0
2013_10_30_06,4.0
2013_10_30_07,4.0
2013_10_30_08,4.0
2013_10_30_09,4.0
2013_10_30_10,4.0
2013_10_30_11,4.0
2013_10_30_12,3.0
2013_10_30_13,3.0
2013_10_30_14,3.0
2013_10_30_15,3.0
2013_10_30_16,3.0
2013_10_30_17,3.0
2013_10_31_06,4.0
2013_10_31_07,4.0
2013_10_31_08,4.0
2013_10_31_09,4.0
2013_10_31_10,4.0
2013_10_31_11,4.0
2013_10_31_12,4.0
2013_10_31_13,3.0
2013_10_31_14,3.0
2013_10_31_15,3.0
2013_10_31_16,3.0
2013_11_01_06,3.0
2013_11_01_07,4.0
2013_11_01_08,4.0
2013_11_01_09,4.0
2013_11_01_10,4.0
2013_11_01_11,4.0
2013_11_01_12,4.0
2013_11_01_13,3.0
2013_11_01_14,3.0
2013_11_01_15,3.0
2013_11_01_16,3.0
2013_11_01_17,3.0
2013_11_02_06,3.0
2013_11_02_07,4.0
2013_11_02_08,4.0
2013_11_02_09,4.0
2013_11_02_10,4.0
2013_11_02_11,4.0
2013_11_02_12,4.0
2013_11_02_13,4.0
2013_11_02_14,3.0
2013_11_02_15,3.0
2013_11_02_16,3.0
2013_11_02_17,3.0
2013_11_03_06,3.0
2013_11_03_07,4.0
2013_11_03_08,4.0
2013_11_03_09,4.0
2013_11_03_10,4.0
2013_11_03_11,4.0
2013_11_03_12,4.0
2013_11_03_13,4.0
2013_11_03_14,3.0
2013_11_03_15,3.0
2013_11_03_16,3.0
2013_11_03_17,3.0
2013_11_04_07,3.0
2013_11_04_08,4.0
2013_11_04_09,4.0
2013_11_04_10,4.0
2013_11_04_11,4.0
2013_11_04_12,4.0
2013_11_04_13,4.0
2013_11_04_14,3.0
2013_11_04_15,3.0
2013_11_04_16,3.0
2013_11_04_17,3.0
2013_11_05_06,3.0
2013_11_05_07,3.0
